Year,Month,Day,Hour,Minute,GHI,Temperature
2014,1,28,15,30,332,0
2014,1,28,16,30,160,0
2014,1,28,17,30,0,0
2014,1,28,18,30,0,0
2014,1,28,19,30,0,0
2014,1,28,20,30,0,-1
2014,1,28,21,30,0,-1
2014,1,28,22,30,0,-1
2014,1,28,23,30,0,-1
2014,1,29,0,30,0,-1
2014,1,29,1,30,0,-1
2014,1,29,2,30,0,-1
2014,1,29,3,30,0,-1
2014,1,29,4,30,0,-1
2014,1,29,5,30,0,-1
2014,1,29,6,30,0,-1
2014,1,29,7,30,0,0
2014,1,29,8,30,25,0
2014,1,29,9,30,38,0
2014,1,29,10,30,112,1
2014,1,29,11,30,127,2
2014,1,29,12,30,118,2
2014,1,29,13,30,161,3
2014,1,29,14,30,170,3
2014,1,29,15,30,38,3
2014,1,29,16,30,17,3
2014,1,29,17,30,1,2
2014,1,29,18,30,0,2
2014,1,29,19,30,0,1
2014,1,29,20,30,0,0
2014,1,29,21,30,0,0
2014,1,29,22,30,0,0
2014,1,29,23,30,0,0
2014,1,30,0,30,0,-1
2014,1,30,1,30,0,-1
2014,1,30,2,30,0,-1
2014,1,30,3,30,0,-1
2014,1,30,4,30,0,-1
2014,1,30,5,30,0,-1
2014,1,30,6,30,0,-1
2014,1,30,7,30,0,0
2014,1,30,8,30,23,0
2014,1,30,9,30,21,0
2014,1,30,10,30,86,0
2014,1,30,11,30,246,0
2014,1,30,12,30,173,0
2014,1,30,13,30,234,0
2014,1,30,14,30,120,0
2014,1,30,15,30,115,0
2014,1,30,16,30,82,0
2014,1,30,17,30,8,-1
2014,1,30,18,30,0,-1
2014,1,30,19,30,0,-1
2014,1,30,20,30,0,-2
2014,1,30,21,30,0,-2
2014,1,30,22,30,0,-2
2014,1,30,23,30,0,-2
2014,1,31,0,30,0,-2
2014,1,31,1,30,0,-3
2014,1,31,2,30,0,-3
2014,1,31,3,30,0,-3
2014,1,31,4,30,0,-3
2014,1,31,5,30,0,-3
2014,1,31,6,30,0,-3
2014,1,31,7,30,0,-3
2014,1,31,8,30,79,-2
2014,1,31,9,30,214,-1
2014,1,31,10,30,339,-1
2014,1,31,11,30,266,0
2014,1,31,12,30,390,0
2014,1,31,13,30,377,0
2014,1,31,14,30,186,0
2014,1,31,15,30,219,-1
2014,1,31,16,30,116,-2
2014,1,31,17,30,12,-3
2014,1,31,18,30,0,-4
2014,1,31,19,30,0,-4
2014,1,31,20,30,0,-5
2014,1,31,21,30,0,-5
2014,1,31,22,30,0,-5
2014,1,31,23,30,0,-6
2014,2,1,0,30,0,-7
2014,2,1,1,30,0,-7
2014,2,1,2,30,0,-8
2014,2,1,3,30,0,-8
2014,2,1,4,30,0,-8
2014,2,1,5,30,0,-8
2014,2,1,6,30,0,-8
2014,2,1,7,30,0,-7
2014,2,1,8,30,91,-6
2014,2,1,9,30,214,-4
2014,2,1,10,30,263,-3
2014,2,1,11,30,222,-3
2014,2,1,12,30,188,-3
2014,2,1,13,30,327,-3
2014,2,1,14,30,173,-3
2014,2,1,15,30,249,-3
2014,2,1,16,30,85,-4
2014,2,1,17,30,10,-5
2014,2,1,18,30,0,-5
2014,2,1,19,30,0,-5
2014,2,1,20,30,0,-6
2014,2,1,21,30,0,-6
2014,2,1,22,30,0,-6
2014,2,1,23,30,0,-7
2014,2,2,0,30,0,-7
2014,2,2,1,30,0,-8
2014,2,2,2,30,0,-8
